0,1.10E+01,7.74E+00,8.29E+00,7.78E+00,1.03E+02,3.74E+01,5.84E+01,5.28E+01,3.04E+01,3.33E+01,1.60E+01,1.16E+01,3.78E+02,5780
1,8.22E+00,5.72E+00,1.11E+01,1.43E+01,7.79E+01,5.96E+01,5.79E+01,3.49E+01,2.63E+01,2.87E+01,1.39E+01,8.60E+00,3.47E+02,10697
2,1.87E+00,1.84E+00,4.90E+00,5.33E+00,1.85E+01,1.77E+01,2.97E+01,3.00E+01,1.33E+01,7.65E+00,4.22E+00,2.47E+00,1.38E+02,22944
3,2.18E+00,3.99E-01,2.67E+00,7.54E+00,2.36E+01,1.64E+01,3.45E+01,9.58E+01,8.74E+01,5.81E+01,1.67E+01,2.55E+00,3.48E+02,47738
4,1.06E+01,7.20E+00,1.21E+01,1.27E+01,1.86E+01,1.05E+01,8.62E+00,9.68E+00,7.63E+00,9.21E+00,1.04E+01,1.15E+01,1.29E+02,52594
5,5.88E+00,5.10E+00,1.09E+01,1.20E+01,9.77E+00,5.28E+00,3.78E+00,3.46E+00,1.88E+00,3.59E+00,5.52E+00,7.26E+00,7.45E+01,52596
6,7.14E+00,1.26E+00,9.15E+00,2.97E+01,4.87E+01,1.01E+02,1.98E+02,2.11E+02,2.25E+02,6.15E+01,2.26E+01,1.12E+01,9.26E+02,46617
7,1.74E-01,7.61E-02,8.58E-02,2.27E-01,5.68E-01,9.20E-02,8.73E-01,8.06E+00,4.18E+00,9.02E-01,6.98E-01,2.22E-01,1.62E+01,46949
8,2.98E-01,5.79E-01,1.96E-01,6.20E-01,9.20E-01,1.61E-01,1.16E+00,5.57E+00,1.04E+00,3.83E-01,4.66E-02,1.52E-01,1.11E+01,47434
9,2.48E+01,1.99E+01,4.52E+01,7.28E+01,7.14E+01,4.69E+01,2.85E+01,2.28E+01,3.94E+01,1.24E+02,1.95E+02,6.91E+01,7.60E+02,52863
10,2.68E-01,1.87E-01,4.41E+00,3.27E+00,3.48E+00,2.39E-01,2.75E+00,6.17E+00,1.05E+00,1.06E+00,7.24E-01,1.59E-01,2.38E+01,43609
11,2.04E+02,2.06E+02,2.16E+02,2.55E+02,3.15E+02,1.99E+02,1.44E+02,9.02E+01,6.09E+01,1.51E+02,2.20E+02,2.68E+02,2.33E+03,52971
12,7.92E-02,9.45E-02,1.61E+00,1.23E+00,5.55E-01,1.71E-02,1.96E+00,3.36E+00,4.81E-01,2.06E-01,6.13E-01,9.94E-03,1.02E+01,45818
13,1.11E+02,6.29E+01,1.36E+02,1.36E+02,1.12E+02,5.69E+01,2.86E+01,2.24E+01,1.92E+01,1.26E+02,3.38E+02,2.18E+02,1.37E+03,53197
14,2.93E+00,4.90E-01,3.37E+00,8.95E+00,2.04E+01,3.71E+01,9.96E+01,1.98E+02,1.33E+02,7.08E+01,2.00E+01,3.19E+00,5.98E+02,47738
